Unnamed: 0,Price,Size,Bed,Bath,Location
5960,9000000,1365.0,3,3,Uttara
5970,12500000,1550.0,3,3,Uttara
6056,13100000,1855.0,3,3,Uttara
6093,15000000,1530.0,3,4,Uttara
6094,15000000,1570.0,3,3,Uttara
6096,19500000,1997.0,3,4,Uttara
6118,10500000,2050.0,3,3,Uttara
6155,9000000,1501.0,3,3,Uttara
6160,13000000,1571.0,3,3,Uttara
6161,13000000,1571.0,3,3,Uttara
6172,13000000,1651.0,4,4,Uttara
6175,6500000,1280.0,3,3,Uttara
6182,15000000,1826.0,3,3,Uttara
6187,6500000,1215.0,2,2,Uttara
6194,14500000,1600.0,3,3,Uttara
6216,11500000,1679.0,3,3,Uttara
6217,8400000,1650.0,3,3,Uttara
6221,10200000,1500.0,3,3,Uttara
6234,12000000,1559.0,3,3,Uttara
6259,9000000,1600.0,3,3,Uttara
6260,8800000,1600.0,3,3,Uttara
6261,8800000,1600.0,3,3,Uttara
6291,14000000,1395.0,3,3,Uttara
6292,11000000,1200.0,3,3,Uttara
6296,11000000,1395.0,3,3,Uttara
6303,6000000,1000.0,3,2,Uttara
6326,15000000,1500.0,3,4,Uttara
6340,6000000,900.0,3,2,Uttara
6349,7500000,1060.0,2,2,Uttara
6394,14600000,2250.0,3,4,Uttara
6397,17000000,1770.0,3,4,Uttara
6398,15000000,1500.0,3,4,Uttara
6440,11000000,1500.0,3,4,Uttara
6445,7500000,1400.0,3,3,Uttara
6452,24500000,2470.0,4,4,Uttara
6453,24500000,2470.0,4,4,Uttara
6489,10000000,1450.0,3,3,Uttara
6490,10000000,1200.0,3,3,Uttara
6491,11000000,1517.0,3,3,Uttara
6492,7500000,1300.0,3,3,Uttara
6500,15000000,2150.0,3,3,Uttara
6501,6000000,900.0,2,2,Uttara
6504,6500000,900.0,2,2,Uttara
6523,13700000,2105.0,3,4,Uttara
6524,13000000,1630.0,3,4,Uttara
6527,10000000,1500.0,3,3,Uttara
6528,14000000,1850.0,4,3,Uttara
6531,9450000,1500.0,3,3,Uttara
6585,4700000,900.0,2,2,Uttara
6586,4700000,900.0,2,2,Uttara
6589,26000000,2900.0,4,4,Uttara
6594,17500000,2170.0,3,4,Uttara
6595,17500000,2170.0,3,3,Uttara
6600,10500000,1517.0,3,3,Uttara
6610,9900000,1225.0,3,2,Uttara
6611,18500000,1809.0,3,3,Uttara
6638,11500000,1500.0,3,3,Uttara
6639,7500000,1300.0,3,3,Uttara
6640,13000000,1700.0,3,3,Uttara
6641,10000000,1520.0,3,3,Uttara
6642,10000000,1520.0,3,3,Uttara
6650,11000000,1695.0,3,3,Uttara
6652,16500000,1842.0,3,4,Uttara
6653,5500000,900.0,2,2,Uttara
6654,9000000,1050.0,3,3,Uttara
6657,15000000,1511.0,3,4,Uttara
6658,9000000,1050.0,3,3,Uttara
6659,9000000,1050.0,3,3,Uttara
6662,15000000,1550.0,3,4,Uttara
6664,17500000,1757.0,3,3,Uttara
6677,14000000,1550.0,3,4,Uttara
6689,15000000,1826.0,3,3,Uttara
6690,6000000,900.0,2,2,Uttara
6693,6000000,900.0,3,2,Uttara
6694,9000000,1160.0,3,2,Uttara
6710,13000000,2200.0,3,3,Uttara
6716,10000000,1500.0,3,3,Uttara
6722,10500000,1376.0,3,3,Uttara
6723,7500000,1525.0,3,3,Uttara
6724,7500000,1528.0,3,3,Uttara
6770,11500000,1750.0,3,4,Uttara
